Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
95.0,127.0,52.3,65.7,88.2,89.9,1966,May,86.35000000000001
90.8,91.5,119.5,88.9,102.6,133.3,1966,Jun,104.43333333333335
73.7,47.4,37.1,72.0,54.4,39.7,1966,July,54.04999999999999
70.7,83.4,56.5,55.1,58.4,96.1,1966,Aug,70.03333333333335
102.8,70.2,61.3,86.3,79.7,59.2,1966,Sep,76.58333333333333
76.7,185.9,132.9,77.9,125.4,78.1,1966,Oct,112.81666666666666
129.3,69.4,43.3,94.8,48.8,50.2,1966,Nov,72.63333333333334
199.2,101.0,115.1,173.4,134.4,100.0,1966,Dec,137.1833333333333
95.3,125.8,48.5,79.3,61.0,57.4,1967,Jan,77.88333333333334
107.0,146.9,83.8,82.2,94.4,119.1,1967,Feb,105.56666666666666
85.2,67.7,26.4,104.2,49.2,60.7,1967,Mar,65.56666666666666
53.2,38.0,33.9,43.6,39.0,29.6,1967,Apr,39.55
86.4,136.0,129.4,66.7,147.1,86.0,1967,May,108.60000000000001
49.1,28.6,11.4,50.7,28.6,35.4,1967,Jun,33.96666666666667
80.1,85.9,83.7,69.0,113.2,44.6,1967,July,79.41666666666667
114.3,145.2,64.3,110.9,84.7,68.9,1967,Aug,98.05000000000001
107.7,135.6,115.5,143.0,112.9,94.4,1967,Sep,118.18333333333334
188.7,196.5,94.4,223.6,157.1,167.9,1967,Oct,171.36666666666667
93.9,137.9,45.7,143.2,67.7,71.5,1967,Nov,93.31666666666666
82.8,99.9,45.5,124.8,68.4,42.6,1967,Dec,77.33333333333333
127.3,137.3,96.1,160.5,135.6,113.6,1968,Jan,128.4
62.4,78.3,15.9,62.4,17.4,24.5,1968,Feb,43.48333333333333
106.0,80.1,41.5,104.9,71.6,73.7,1968,Mar,79.63333333333334
51.0,131.1,58.6,57.7,69.5,39.2,1968,Apr,67.85
54.5,65.9,51.8,73.1,57.0,43.0,1968,May,57.54999999999999
61.2,78.8,51.4,59.9,73.4,49.6,1968,Jun,62.38333333333335
38.7,32.1,15.9,25.0,22.2,32.7,1968,July,27.76666666666667
68.3,106.1,106.6,47.2,88.5,76.2,1968,Aug,82.14999999999999
109.3,180.0,103.5,97.3,119.0,141.7,1968,Sep,125.13333333333333
151.5,137.5,59.8,149.3,91.5,93.2,1968,Oct,113.80000000000001
109.8,226.7,78.8,65.4,112.1,90.0,1968,Nov,113.80000000000001
107.0,207.3,109.1,72.2,117.2,163.9,1968,Dec,129.45
129.0,230.3,105.4,139.3,133.3,141.8,1969,Jan,146.51666666666665
85.4,51.0,41.8,106.3,48.1,43.9,1969,Feb,62.75
42.4,30.9,46.9,45.1,33.8,44.4,1969,Mar,40.58333333333333
51.5,66.4,62.3,50.2,75.0,61.5,1969,Apr,61.15
40.6,61.8,111.2,52.0,90.4,61.5,1969,May,69.58333333333333
77.7,87.1,46.4,62.3,58.0,75.4,1969,Jun,67.81666666666666
33.9,78.9,43.8,47.7,45.8,31.1,1969,July,46.866666666666674
61.2,98.1,34.1,66.3,32.6,30.6,1969,Aug,53.81666666666667
58.3,58.4,44.9,76.9,29.2,49.6,1969,Sep,52.88333333333333
116.0,74.2,11.1,91.1,34.6,52.5,1969,Oct,63.25
166.3,148.2,90.0,195.5,75.4,115.4,1969,Nov,131.79999999999998
130.1,146.3,63.5,118.8,91.5,116.5,1969,Dec,111.11666666666667
80.8,194.6,62.5,59.8,83.0,47.0,1970,Jan,87.95
157.7,155.0,60.4,143.7,105.1,136.6,1970,Feb,126.41666666666667
76.9,58.0,32.5,76.1,47.0,45.9,1970,Mar,56.06666666666666
75.6,133.5,85.3,81.2,87.3,93.2,1970,Apr,92.68333333333334
