Belmullet,Valentia,DublinAirport,MalinHead,Mullingar,ShannonAirport,Year,Category,Month
84.2,102.9,26.4,85.2,43.7,56.6,1991,total,07
42.3,30.8,36.9,65.4,35.1,60.3,1991,total,08
91.4,139.7,42.8,74.9,51.0,61.0,1991,total,09
124.8,174.4,85.6,101.9,101.4,84.8,1991,total,10
180.0,186.5,50.3,158.5,100.9,113.8,1991,total,11
88.1,20.9,38.1,117.6,70.6,59.1,1991,total,12
85.3,113.5,32.9,108.7,75.9,66.3,1992,total,01
128.2,109.8,24.1,89.7,60.9,54.3,1992,total,02
128.0,134.5,64.9,152.0,90.8,105.6,1992,total,03
96.4,174.0,70.3,100.3,94.0,76.6,1992,total,04
42.4,69.2,39.5,44.5,58.7,35.2,1992,total,05
38.2,41.9,38.4,53.5,19.7,28.5,1992,total,06
117.7,139.0,69.0,81.8,97.2,69.6,1992,total,07
234.8,185.5,85.2,173.4,116.0,154.9,1992,total,08
142.7,120.9,64.2,85.6,82.7,75.8,1992,total,09
140.7,84.3,30.7,108.9,43.6,61.7,1992,total,10
176.8,134.9,63.2,167.7,114.6,98.9,1992,total,11
116.0,113.6,41.5,113.4,65.1,88.4,1992,total,12
228.4,171.9,57.9,162.3,111.2,88.1,1993,total,01
31.5,51.1,19.5,33.5,16.7,16.5,1993,total,02
83.0,118.8,26.2,63.5,47.2,49.5,1993,total,03
97.6,88.0,48.7,124.5,107.9,84.4,1993,total,04
99.0,100.2,149.9,52.7,97.8,92.8,1993,total,05
74.4,73.0,148.1,69.3,136.1,71.0,1993,total,06
61.7,134.5,60.1,99.3,77.3,68.2,1993,total,07
57.1,43.9,36.8,55.7,43.0,53.1,1993,total,08
71.2,203.9,90.3,82.5,86.4,113.4,1993,total,09
56.8,74.0,86.2,36.6,78.2,43.5,1993,total,10
91.9,182.6,45.4,61.7,50.2,60.1,1993,total,11
236.3,227.5,105.7,229.7,165.1,217.6,1993,total,12
171.4,218.0,83.3,145.1,113.5,164.8,1994,total,01
114.9,170.3,99.1,119.2,101.5,111.6,1994,total,02
157.6,145.5,72.1,152.3,109.0,133.5,1994,total,03
107.3,143.9,60.3,83.9,95.2,112.6,1994,total,04
66.9,93.2,51.5,18.8,41.3,77.3,1994,total,05
72.2,104.5,20.9,98.3,64.9,65.4,1994,total,06
66.8,212.9,64.7,67.6,87.4,73.0,1994,total,07
104.0,81.9,57.8,76.5,78.2,76.4,1994,total,08
95.3,99.8,97.0,103.7,60.8,62.1,1994,total,09
63.6,115.1,41.2,63.8,41.5,65.9,1994,total,10
99.2,169.1,54.8,99.5,79.8,70.6,1994,total,11
196.2,250.2,88.9,159.9,143.7,181.1,1994,total,12
191.9,226.0,105.5,185.2,148.2,191.0,1995,total,01
